"Index" "foreclose" "foreclose_sa" "divorces" "marriages" "house_price" "flat_price" "bankrupt" "bankrupt_sa" " - X100: Non-financial corporations" " - X400: Households" "- X100: Non-financial corporations" "- X400: Households" "retail_sale" "unemployed" "deposit_all" "loan_all" "divorces_sa" "marriages_sa"
Jan 1979 NA NA NA NA NA NA 112 127 NA NA NA NA 106 160.2 NA NA NA NA
Feb 1979 NA NA NA NA NA NA 79 73 NA NA NA NA 105 NA NA NA NA NA
Mar 1979 NA NA NA NA NA NA 98 88 NA NA NA NA 104 NA NA NA NA NA
Apr 1979 NA NA NA NA NA NA 69 69 NA NA NA NA 105 NA NA NA NA NA
May 1979 NA NA NA NA NA NA 90 97 NA NA NA NA 109 NA NA NA NA NA
Jun 1979 NA NA NA NA NA NA 92 99 NA NA NA NA 106 NA NA NA NA NA
Jul 1979 NA NA NA NA NA NA 101 111 NA NA NA NA 108 NA NA NA NA NA
Aug 1979 NA NA NA NA NA NA 106 110 NA NA NA NA 106 NA NA NA NA NA
Sep 1979 NA NA NA NA NA NA 116 105 NA NA NA NA 104 NA NA NA NA NA
Oct 1979 NA NA NA NA NA NA 108 106 NA NA NA NA 106 NA NA NA NA NA
Nov 1979 NA NA NA NA NA NA 118 110 NA NA NA NA 106 NA NA NA NA NA
Dec 1979 NA NA NA NA NA NA 86 87 NA NA NA NA 105 NA NA NA NA NA
Jan 1980 NA NA NA NA NA NA 110 125 NA NA NA NA 104 181.8 NA NA NA NA
Feb 1980 NA NA NA NA NA NA 139 128 NA NA NA NA 104 NA NA NA NA NA
Mar 1980 NA NA NA NA NA NA 138 128 NA NA NA NA 106 NA NA NA NA NA
Apr 1980 NA NA NA NA NA NA 139 135 NA NA NA NA 105 NA NA NA NA NA
May 1980 NA NA NA NA NA NA 122 131 NA NA NA NA 105 NA NA NA NA NA
Jun 1980 NA NA NA NA NA NA 128 137 NA NA NA NA 104 NA NA NA NA NA
Jul 1980 NA NA NA NA NA NA 134 149 NA NA NA NA 105 NA NA NA NA NA
Aug 1980 NA NA NA NA NA NA 194 203 NA NA NA NA 104 NA NA NA NA NA
Sep 1980 NA NA NA NA NA NA 213 193 NA NA NA NA 101 NA NA NA NA NA
Oct 1980 NA NA NA NA NA NA 187 182 NA NA NA NA 104 NA NA NA NA NA
Nov 1980 NA NA NA NA NA NA 238 220 NA NA NA NA 104 NA NA NA NA NA
Dec 1980 NA NA NA NA NA NA 193 195 NA NA NA NA 104 NA NA NA NA NA
Jan 1981 NA NA NA NA NA NA 189 216 NA NA NA NA 101 236.2 NA NA NA NA
Feb 1981 NA NA NA NA NA NA 212 195 NA NA NA NA 100 NA NA NA NA NA
Mar 1981 NA NA NA NA NA NA 229 208 NA NA NA NA 98 NA NA NA NA NA
Apr 1981 NA NA NA NA NA NA 210 210 NA NA NA NA 102 NA NA NA NA NA
May 1981 NA NA NA NA NA NA 204 217 NA NA NA NA 99 NA NA NA NA NA
Jun 1981 NA NA NA NA NA NA 222 237 NA NA NA NA 96 NA NA NA NA NA
Jul 1981 NA NA NA NA NA NA 224 254 NA NA NA NA 103 NA NA NA NA NA
Aug 1981 NA NA NA NA NA NA 199 208 NA NA NA NA 98 NA NA NA NA NA
Sep 1981 NA NA NA NA NA NA 226 206 NA NA NA NA 98 NA NA NA NA NA
Oct 1981 NA NA NA NA NA NA 212 203 NA NA NA NA 98 NA NA NA NA NA
Nov 1981 NA NA NA NA NA NA 185 169 NA NA NA NA 97 NA NA NA NA NA
Dec 1981 NA NA NA NA NA NA 203 205 NA NA NA NA 99 NA NA NA NA NA
Jan 1982 NA NA NA NA NA NA 159 182 NA NA NA NA 99 253 NA NA NA NA
Feb 1982 NA NA NA NA NA NA 239 219 NA NA NA NA 102 NA NA NA NA NA
Mar 1982 NA NA NA NA NA NA 236 215 NA NA NA NA 101 NA NA NA NA NA
Apr 1982 NA NA NA NA NA NA 217 217 NA NA NA NA 103 NA NA NA NA NA
May 1982 NA NA NA NA NA NA 219 230 NA NA NA NA 101 NA NA NA NA NA
Jun 1982 NA NA NA NA NA NA 187 199 NA NA NA NA 103 NA NA NA NA NA
Jul 1982 NA NA NA NA NA NA 182 209 NA NA NA NA 101 NA NA NA NA NA
Aug 1982 NA NA NA NA NA NA 200 210 NA NA NA NA 100 NA NA NA NA NA
Sep 1982 NA NA NA NA NA NA 234 215 NA NA NA NA 101 NA NA NA NA NA
Oct 1982 NA NA NA NA NA NA 217 206 NA NA NA NA 100 NA NA NA NA NA
Nov 1982 NA NA NA NA NA NA 192 174 NA NA NA NA 102 NA NA NA NA NA
Dec 1982 NA NA NA NA NA NA 183 184 NA NA NA NA 101 NA NA NA NA NA
Jan 1983 NA NA 1227 1122 NA NA 182 210 NA NA NA NA 100 268.8 NA NA 1326 2358
Feb 1983 NA NA 1133 1271 NA NA 172 158 NA NA NA NA 101 NA NA NA 1188 2447
Mar 1983 NA NA 1450 1809 NA NA 164 165 NA NA NA NA 103 NA NA NA 1270 2446
Apr 1983 NA NA 1101 2098 NA NA 190 173 NA NA NA NA 100 NA NA NA 1294 2257
May 1983 NA NA 1288 3648 NA NA 134 140 NA NA NA NA 101 NA NA NA 1244 2570
Jun 1983 NA NA 1318 2857 NA NA 174 184 NA NA NA NA 103 NA NA NA 1225 2051
Jul 1983 NA NA 968 3453 NA NA 153 178 NA NA NA NA 104 NA NA NA 1169 2374
Aug 1983 NA NA 1135 2968 NA NA 117 124 NA NA NA NA 104 NA NA NA 1131 2211
Sep 1983 NA NA 1316 2217 NA NA 144 133 NA NA NA NA 106 NA NA NA 1183 2263
Oct 1983 NA NA 1232 2217 NA NA 132 125 NA NA NA NA 103 NA NA NA 1211 2358
Nov 1983 NA NA 1355 1672 NA NA 168 150 NA NA NA NA 104 NA NA NA 1210 2346
Dec 1983 NA NA 1240 1764 NA NA 134 133 NA NA NA NA 104 NA NA NA 1349 2231
Jan 1984 NA NA 1148 1032 NA NA 114 133 NA NA NA NA 105 261.9 NA NA 1188 2470
Feb 1984 NA NA 1282 1232 NA NA 149 137 NA NA NA NA 104 NA NA NA 1279 2359
Mar 1984 NA NA 1336 1809 NA NA 133 122 NA NA NA NA 105 NA NA NA 1226 2424
Apr 1984 NA NA 1011 2522 NA NA 92 93 NA NA NA NA 106 NA NA NA 1191 2743
May 1984 NA NA 1235 2855 NA NA 121 126 NA NA NA NA 106 NA NA NA 1139 2037
Jun 1984 NA NA 1148 4616 NA NA 124 129 NA NA NA NA 106 NA NA NA 1116 2793
Jul 1984 NA NA 1019 2970 NA NA 93 109 NA NA NA NA 105 NA NA NA 1174 2392
Aug 1984 NA NA 1218 3201 NA NA 119 128 NA NA NA NA 105 NA NA NA 1210 2285
Sep 1984 NA NA 1220 2710 NA NA 142 131 NA NA NA NA 107 NA NA NA 1200 2481
Oct 1984 NA NA 1373 1935 NA NA 147 137 NA NA NA NA 106 NA NA NA 1232 2345
Nov 1984 NA NA 1439 1747 NA NA 124 111 NA NA NA NA 107 NA NA NA 1285 2382
Dec 1984 NA NA 1061 1995 NA NA 140 138 NA NA NA NA 106 NA NA NA 1213 2575
Jan 1985 NA NA 1179 1008 NA NA 119 140 NA NA NA NA 104 238.7 NA NA 1168 2437
Feb 1985 NA NA 1218 1266 NA NA 145 133 NA NA NA NA 105 NA NA NA 1276 2475
Mar 1985 NA NA 1310 1822 NA NA 144 133 NA NA NA NA 105 NA NA NA 1261 2357
Apr 1985 NA NA 984 2074 NA NA 123 125 NA NA NA NA 103 NA NA NA 1108 2411
May 1985 NA NA 1270 3701 NA NA 123 128 NA NA NA NA 109 NA NA NA 1170 2548
Jun 1985 NA NA 1203 3724 NA NA 111 114 NA NA NA NA 107 NA NA NA 1221 2297
Jul 1985 NA NA 1057 3091 NA NA 93 111 NA NA NA NA 110 NA NA NA 1159 2496
Aug 1985 NA NA 1138 4093 NA NA 117 128 NA NA NA NA 110 NA NA NA 1180 2515
Sep 1985 NA NA 1322 2422 NA NA 125 115 NA NA NA NA 108 NA NA NA 1241 2514
Oct 1985 NA NA 1350 2152 NA NA 142 130 NA NA NA NA 109 NA NA NA 1212 2588
Nov 1985 NA NA 1312 2179 NA NA 156 139 NA NA NA NA 108 NA NA NA 1229 2617
Dec 1985 NA NA 1042 1790 NA NA 106 105 NA NA NA NA 109 NA NA NA 1144 2631
Jan 1986 NA NA 1217 1075 NA NA 87 102 NA NA NA NA 112 208.2 NA NA 1207 2557
Feb 1986 NA NA 1157 1292 NA NA 118 108 NA NA NA NA 111 NA NA NA 1216 2554
Mar 1986 NA NA 1104 2464 NA NA 104 110 NA NA NA NA 111 NA NA NA 1215 2885
Apr 1986 NA NA 1214 1695 NA NA 134 120 NA NA NA NA 112 NA NA NA 1198 2284
May 1986 NA NA 1285 4590 NA NA 128 133 NA NA NA NA 113 NA NA NA 1235 2757
Jun 1986 NA NA 1274 3434 NA NA 103 105 NA NA NA NA 111 NA NA NA 1232 2375
Jul 1986 NA NA 1072 3183 NA NA 94 113 NA NA NA NA 111 NA NA NA 1171 2564
Aug 1986 NA NA 1117 4390 NA NA 114 126 NA NA NA NA 109 NA NA NA 1207 2633
Sep 1986 NA NA 1350 2387 NA NA 123 114 NA NA NA NA 111 NA NA NA 1210 2476
Oct 1986 NA NA 1301 2261 NA NA 128 116 NA NA NA NA 109 NA NA NA 1169 2646
Nov 1986 NA NA 1260 2213 NA NA 161 143 NA NA NA NA 105 NA NA NA 1240 2726
Dec 1986 NA NA 1139 1789 NA NA 132 131 NA NA NA NA 107 NA NA NA 1198 2665
Jan 1987 NA NA 1071 1211 NA NA 109 128 NA NA NA NA 100 210.8 NA NA 1112 2563
Feb 1987 NA NA 1109 1260 NA NA 147 134 NA NA NA NA 101 NA NA NA 1170 2507
